SubID GraphID StartID EndID Path PathLength pCrossNo pAngMean pMinAng pContinu pGeode pGeode1 Response Time Effort YN
03 57 9 0 9-24-32-0 3 7 71.033 50.82 91.215 39.764 95.59124254929252 4 12731 6 0
03 30 16 0 16-19-37-43-0 4 12 62.06 12.31 153.156 69.604 105.84710750677195 5 22086 7 0
03 49 16 0 16-38-15-18-7-0 5 14 59.886 13.283 198.281 202.388 385.72742954765084 5 15269 6 1
03 65 38 2 38-17-32-31-8-2 5 16 62.538 19.201 193.061 240.106 1031.7751649404947 6 14244 7 0
03 23 4 0 4-18-9-0 3 2 72.924 70.699 77.43 54.369 205.96096408633798 3 10057 3 1
03 73 7 0 7-18-40-3-0 4 0 90.0 90.0 152.686 112.571 116.61074725394116 4 7422 5 1
03 1 8 0 8-26-14-18-19-12-0 6 0 90.0 90.0 161.565 148.096 519.3169648311973 6 12759 5 1
03 74 1 3 1-0-2-6-3 4 1 80.267 80.267 179.054 100.688 252.76518561321836 4 4695 5 1
03 45 24 0 24-8-28-0 3 2 72.079 62.081 158.091 101.879 204.43535087909436 3 2243 3 1
03 48 3 0 3-4-7-32-0 4 9 59.502 23.023 166.856 136.527 370.83369907243934 4 3666 4 1
03 19 20 0 20-2-12-0 3 0 90.0 90.0 73.74 26.412 23.494872671773074 3 3881 3 1
03 0 7 8 7-0-11-18-8 4 0 90.0 90.0 135.0 77.1 119.20168918295217 4 3683 3 1
03 35 35 2 35-1-0-23-8-2 5 2 72.999 69.754 98.31 185.997 538.376061888775 5 5922 4 1
03 27 16 0 16-9-5-0 3 2 67.503 49.708 88.888 36.52 64.54553063011994 3 2185 2 1
03 95 35 1 35-0-10-2-6-1 5 7 72.293 59.351 236.67 168.718 320.88065986348175 5 8737 5 1
03 14 9 0 9-30-8-2-3-0 5 0 90.0 90.0 90.0 171.905 579.746477814057 5 4843 5 1
03 75 4 2 4-32-33-2 3 6 49.016 28.515 119.682 94.582 199.24356360845934 3 3887 3 1
03 10 5 0 5-1-4-0 3 0 90.0 90.0 52.125 32.097 195.22127383053416 3 6563 3 1
03 67 12 0 12-2-25-17-41-14-0 6 5 57.771 18.284 178.0 219.301 813.4895293784364 6 5126 5 1
03 15 35 1 35-0-10-2-6-1 5 0 90.0 90.0 90.0 50.793 583.8251623724211 5 8141 5 1
03 22 39 3 39-21-27-4-3 4 5 73.304 60.79 175.185 160.804 338.87104951703463 4 6277 4 1
03 56 38 2 38-39-0-2 3 2 73.212 57.355 125.944 69.035 74.71549498470563 5 7945 4 0
03 77 10 0 10-20-4-19-11-0 5 3 70.001 40.607 156.243 187.319 457.40211508082496 5 8404 5 1
03 69 31 0 31-23-7-27-0 4 7 60.396 38.567 147.705 99.519 254.47846068689284 6 22144 7 0
03 93 10 0 10-8-2-4-0 4 0 90.0 90.0 60.566 35.158 50.11230075748703 5 5688 5 0
03 37 30 2 30-24-27-31-9-40-2 6 9 65.795 48.678 289.223 278.112 574.5474526406822 6 14013 6 1
03 2 22 4 22-2-3-10-8-4 5 0 90.0 90.0 0.0 92.461 100.08764328493159 5 4947 5 1
03 96 39 0 39-12-19-0 3 0 90.0 90.0 101.651 70.973 103.02520469341204 4 5514 5 0
03 34 15 1 15-10-9-1 3 4 63.266 20.907 38.029 28.404 105.40349038635547 4 4904 5 0
03 54 14 0 14-35-25-38-24-7-0 6 2 67.796 64.177 248.41 253.778 518.4275814533977 6 5665 5 1
03 62 13 1 13-3-29-37-1 4 1 62.517 62.517 90.775 149.249 402.56656582509595 4 2839 2 1
